          *date       Overpass      wb_1st_00      wb_1st_01      wb_1st_05      wb_2nd_00      wb_2nd_01      wb_2nd_05     percent_cb           wwml          wwmax      max_wskew          wstar        wspd_cb   max_duration  mean_duration        num_cld     num_cld_30 min_ww_percent   LCL_mean_met      Hcb_vceil
       20110729           1830         0.8320         0.9610         1.5410         2.3460         2.3630         2.6870        14.6870         2.1520         3.1130         2.1469         3.0070           -NaN       364.0000        52.1739        23.0000         7.0000        37.8121         3.4010         2.7800
       20110810           1630         0.7620         0.8330         1.1190         1.1960         1.2020         1.3250        11.0400         0.4880         0.4880         0.7518         1.4245        11.1420       213.0000        32.6512        43.0000        12.0000        92.3578         0.6550         0.4080
       20110812           2100         0.7800         0.8630         1.1810         1.3150         1.3220         1.4570        19.4790         1.4430         2.2690         1.4226         2.0623         6.3860       676.0000       147.7500        12.0000         8.0000        87.0027         1.7810         1.7950
       20110813           2100         1.4460         1.4930         1.6610         1.9830         1.9850         2.0290        10.0380         0.8630         1.2010         1.8752         1.9181         3.9260       218.0000       147.4000         5.0000         4.0000        90.7130         1.6870         1.3820
       20110814           2100         1.1970         1.2800         1.4910         1.6670         1.6720         1.7260         9.3510         0.7890         1.3310         1.3527         2.1317         4.2430       432.0000        98.7143         7.0000         4.0000        89.8578         1.9220         1.6520
       20110815           2000         1.1610         1.2530         1.5670         1.9650         1.9710         2.0760        11.3520         1.2730         1.8940         1.7776         2.2565         5.3110       161.0000        58.4706        17.0000         9.0000        76.0953         2.6110         2.1400
       20110902           1830         0.9330         1.0350         1.4540         2.0100         2.0190         2.2160        14.0480         2.3480         3.6620         3.2693         2.5271           -NaN       315.0000        93.1818        11.0000         6.0000        54.5041         3.1910         2.7330
       20110909           2000         1.0690         1.1650         1.5180         1.8980         1.9050         2.0320        25.3320         1.6320         2.5890         1.4311         2.4109         6.7910      1040.0000       167.0714        14.0000        12.0000        90.4289         2.4020         2.0790
       20110917           2100         0.9960         1.0530         1.3040         1.5340         1.5370         1.6340        59.6460         0.9480         1.0940         0.6268         1.5440        10.2810      2286.0000       363.2500        12.0000         8.0000        93.2784         1.5900         1.4620
       20110918           2000         0.5160         0.5990         0.9610         0.9130         0.9240         1.1360        47.6010         0.4430         0.5700         0.7518         1.6465         7.2120       495.0000       134.4000        25.0000        17.0000        93.2448         1.1230         0.8680
